# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences

1f3c4_200d_2640;1f3c4_1f3fe_200d_2640
1f3c4_200d_2640;1f3c4_1f3ff_200d_2640
1f3c4_200d_2642;1f3c4_1f3fb_200d_2642 # man surfing
1f3c4_200d_2642;1f3c4_1f3fc_200d_2642
1f3c4_200d_2642;1f3c4_1f3fd_200d_2642
1f3c4_200d_2642;1f3c4_1f3fe_200d_2642
1f3c4_200d_2642;1f3c4_1f3ff_200d_2642
1f3ca_200d_2640;1f3ca # XXX remove when 'person' artwork exists
1f3ca;1f3ca_1f3fb # person swimming
1f3ca;1f3ca_1f3fc
1f3ca;1f3ca_1f3fd
1f3ca;1f3ca_1f3fe
1f3ca;1f3ca_1f3ff
1f3ca_200d_2640;1f3ca_1f3fb_200d_2640 # woman swimming
1f3ca_200d_2640;1f3ca_1f3fc_200d_2640
1f3ca_200d_2640;1f3ca_1f3fd_200d_2640
1f3ca_200d_2640;1f3ca_1f3fe_200d_2640
1f3ca_200d_2640;1f3ca_1f3ff_200d_2640
1f3ca_200d_2642;1f3ca_1f3fb_200d_2642 # man swimming
1f3ca_200d_2642;1f3ca_1f3fc_200d_2642
1f3ca_200d_2642;1f3ca_1f3fd_200d_2642
1f3ca_200d_2642;1f3ca_1f3fe_200d_2642
1f3ca_200d_2642;1f3ca_1f3ff_200d_2642
1f3cb_200d_2640;1f3cb # XXX remove when 'person' artwork exists
1f3cb;1f3cb_1f3fb # person lifting weights
1f3cb;1f3cb_1f3fc
1f3cb;1f3cb_1f3fd
1f3cb;1f3cb_1f3fe
1f3cb;1f3cb_1f3ff
1f3cb_200d_2640;1f3cb_1f3fb_200d_2640 # woman lifting weights
1f3cb_200d_2640;1f3cb_1f3fc_200d_2640
1f3cb_200d_2640;1f3cb_1f3fd_200d_2640
1f3cb_200d_2640;1f3cb_1f3fe_200d_2640
1f3cb_200d_2640;1f3cb_1f3ff_200d_2640
1f3cb_200d_2642;1f3cb_1f3fb_200d_2642 # man lifting weights
1f3cb_200d_2642;1f3cb_1f3fc_200d_2642
1f3cb_200d_2642;1f3cb_1f3fd_200d_2642
1f3cb_200d_2642;1f3cb_1f3fe_200d_2642
1f3cb_200d_2642;1f3cb_1f3ff_200d_2642
1f3cc_200d_2640;1f3cc # XXX remove when 'person' artwork exists
1f3cc;1f3cc_1f3fb # person golfing
1f3cc;1f3cc_1f3fc
1f3cc;1f3cc_1f3fd
1f3cc;1f3cc_1f3fe
1f3cc;1f3cc_1f3ff
1f3cc_200d_2640;1f3cc_1f3fb_200d_2640 # woman golfing
1f3cc_200d_2640;1f3cc_1f3fc_200d_2640
1f3cc_200d_2640;1f3cc_1f3fd_200d_2640
1f3cc_200d_2640;1f3cc_1f3fe_200d_2640
1f3cc_200d_2640;1f3cc_1f3ff_200d_2640
1f3cc_200d_2642;1f3cc_1f3fb_200d_2642 # man golfing
1f3cc_200d_2642;1f3cc_1f3fc_200d_2642
1f3cc_200d_2642;1f3cc_1f3fd_200d_2642
1f3cc_200d_2642;1f3cc_1f3fe_200d_2642
1f3cc_200d_2642;1f3cc_1f3ff_200d_2642
1f6a3_200d_2640;1f6a3 # XXX remove when 'person' artwork exists
1f6a3;1f6a3_1f3fb # person rowing boat
1f6a3;1f6a3_1f3fc
1f6a3;1f6a3_1f3fd
1f6a3;1f6a3_1f3fe
1f6a3;1f6a3_1f3ff
1f6a3_200d_2640;1f6a3_1f3fb_200d_2640 # woman rowing boat
1f6a3_200d_2640;1f6a3_1f3fc_200d_2640
1f6a3_200d_2640;1f6a3_1f3fd_200d_2640
1f6a3_200d_2640;1f6a3_1f3fe_200d_2640
1f6a3_200d_2640;1f6a3_1f3ff_200d_2640
1f6a3_200d_2642;1f6a3_1f3fb_200d_2642 # man rowing boat
1f6a3_200d_2642;1f6a3_1f3fc_200d_2642
1f6a3_200d_2642;1f6a3_1f3fd_200d_2642
1f6a3_200d_2642;1f6a3_1f3fe_200d_2642
