# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences

# XXX all of these must be remove when 'person' artwork exists

# police officer
1f46e_200d_2640;1f46e
1f647_1f3fb_200d_2640;1f647_1f3fb
1f647_1f3fc_200d_2640;1f647_1f3fc
1f647_1f3fd_200d_2640;1f647_1f3fd
1f647_1f3fe_200d_2640;1f647_1f3fe
1f647_1f3ff_200d_2640;1f647_1f3ff

# person facepalming
1f926_200d_2640;1f926
1f926_1f3fb_200d_2640;1f926_1f3fb
1f926_1f3fc_200d_2640;1f926_1f3fc
1f926_1f3fd_200d_2640;1f926_1f3fd
1f926_1f3fe_200d_2640;1f926_1f3fe
1f926_1f3ff_200d_2640;1f926_1f3ff

# person shrugging
1f937_200d_2640;1f937
1f937_1f3fb_200d_2640;1f937_1f3fb
1f937_1f3fc_200d_2640;1f937_1f3fc
1f937_1f3fd_200d_2640;1f937_1f3fd
1f937_1f3fe_200d_2640;1f937_1f3fe
1f937_1f3ff_200d_2640;1f937_1f3ff

# person getting massage
1f486_200d_2640;1f486
1f486_1f3fb_200d_2640;1f486_1f3fb
1f486_1f3fc_200d_2640;1f486_1f3fc
1f486_1f3fd_200d_2640;1f486_1f3fd
1f486_1f3fe_200d_2640;1f486_1f3fe
1f486_1f3ff_200d_2640;1f486_1f3ff

# person getting haircut
1f487_200d_2640;1f487
1f487_1f3fb_200d_2640;1f487_1f3fb
1f487_1f3fc_200d_2640;1f487_1f3fc
1f487_1f3fd_200d_2640;1f487_1f3fd
1f487_1f3fe_200d_2640;1f487_1f3fe
1f487_1f3ff_200d_2640;1f487_1f3ff

# person walking
1f6b6_200d_2640;1f6b6
1f6b6_1f3fb_200d_2640;1f6b6_1f3fb
1f6b6_1f3fc_200d_2640;1f6b6_1f3fc
1f6b6_1f3fd_200d_2640;1f6b6_1f3fd
1f6b6_1f3fe_200d_2640;1f6b6_1f3fe
1f6b6_1f3ff_200d_2640;1f6b6_1f3ff

# person running
1f3c3_200d_2640;1f3c3
1f3c3_1f3fb_200d_2640;1f3c3_1f3fb
1f3c3_1f3fc_200d_2640;1f3c3_1f3fc
1f3c3_1f3fd_200d_2640;1f3c3_1f3fd
1f3c3_1f3fe_200d_2640;1f3c3_1f3fe
1f3c3_1f3ff_200d_2640;1f3c3_1f3ff

# people with bunny ears
1f46f_200d_2640;1f46f

# person in steamy room
1f9d6_200d_2640;1f9d6
1f9d6_1f3fb_200d_2640;1f9d6_1f3fb
1f9d6_1f3fc_200d_2640;1f9d6_1f3fc
1f9d6_1f3fd_200d_2640;1f9d6_1f3fd
1f9d6_1f3fe_200d_2640;1f9d6_1f3fe
1f9d6_1f3ff_200d_2640;1f9d6_1f3ff

# person climbing
1f9d7_200d_2640;1f9d7
1f9d7_1f3fb_200d_2640;1f9d7_1f3fb
1f9d7_1f3fc_200d_2640;1f9d7_1f3fc
1f9d7_1f3fd_200d_2640;1f9d7_1f3fd
1f9d7_1f3fe_200d_2640;1f9d7_1f3fe
1f9d7_1f3ff_200d_2640;1f9d7_1f3ff

# person in lotus position
1f9d8_200d_2640;1f9d8
1f9d8_1f3fb_200d_2640;1f9d8_1f3fb
1f9d8_1f3fc_200d_2640;1f9d8_1f3fc
1f9d8_1f3fd_200d_2640;1f9d8_1f3fd
1f9d8_1f3fe_200d_2640;1f9d8_1f3fe
1f9d8_1f3ff_200d_2640;1f9d8_1f3ff

# person golfing
1f3cc_200d_2640;1f3cc
1f3cc_1f3fb_200d_2640;1f3cc_1f3fb
1f3cc_1f3fc_200d_2640;1f3cc_1f3fc
1f3cc_1f3fd_200d_2640;1f3cc_1f3fd
1f3cc_1f3fe_200d_2640;1f3cc_1f3fe
1f3cc_1f3ff_200d_2640;1f3cc_1f3ff

# person surfing
1f3c4_200d_2640;1f3c4
1f3c4_1f3fb_200d_2640;1f3c4_1f3fb
